id,gaining,maximum,type,receivingModel,replacing,requires,uni
"(1, 0)",(0),1,2,0,(0),(),0
"(1, 1)",(1),1,2,0,(0),(),0
"(1, 2)",(2),1,2,0,(1),(),0
"(1, 3)",(0),1,2,0,(1),(),0
"(1, 4)",(5),1,1,1,(1),(),0
"(1, 5)",(2),1,2,1,(1),(),0
"(1, 6)",(0),1,2,1,(1),(),0
"(1, 7)",(0),1,2,1,(0),(),0
"(1, 8)",(2),5,0,0,(),(),0
"(1, 9)",(2),0,2,3,(1),(),0
"(1, 10)",(2),0,2,2,(1),(),0
"(1, 11)",(3),0,2,3,(5),(),0
"(1, 12)",(3),0,2,2,(5),(),0
"(1, 13)",(19),0,1,3,(5),(),0
"(1, 14)",(19),0,1,2,(5),(),0
"(1, 15)",(4),2,0,0,(),(),0
"(1, 16)",(0),0,2,4,(0),(),0
"(1, 17)",(1),0,2,4,(0),(),0
"(1, 18)",(5),5,0,0,(),(),0
"(1, 19)",(0),1,2,6,(0),(),0
"(1, 20)",(1),1,2,6,(0),(),0
"(1, 21)",(3),0,1,5,(0),(),0
"(1, 22)",(7),5,0,0,(),(),0
"(1, 23)",(3),1,2,8,(5),(),0
"(1, 24)",(2),1,2,8,(1),(),0
"(1, 25)",(0),1,2,8,(1),(),0
"(1, 26)",(0),0,1,7,(1),(),0
"(1, 27)",(11),0,1,7,(1),(),0
"(1, 28)",(9),4,0,0,(),(),0
"(1, 29)",(0),0,2,10,(0),(),0
"(1, 30)",(1),0,2,10,(0),(),0
"(1, 31)",(2),0,2,10,(1),(),0
"(1, 32)",(15),0,1,10,(1),(),0
"(1, 33)",(17),0,1,10,(1),(),0
"(1, 34)",(0),0,2,9,(0),(),0
"(1, 35)",(1),0,2,9,(0),(),0
"(1, 36)",(2),0,2,9,(1),(),0
"(1, 37)",(15),0,1,9,(1),(),0
"(1, 38)",(17),0,1,9,(1),(),0
"(1, 39)",(11),10,0,0,(),(),0
"(1, 40)",(12),5,0,0,(),(),0
"(1, 41)",(22),1,1,13,(21),(),0
"(1, 42)",(23),1,1,13,(21),(),0
"(1, 43)",(0),1,2,13,(0),(),0
"(1, 44)",(9),1,1,13,(0),(),0
"(1, 45)",(22),2,1,12,(21),(),0
"(1, 46)",(0),2,2,12,(0),(),0
"(1, 47)",(25),2,1,14,(),(),0
"(1, 48)",(26),2,1,14,(),(),0
"(1, 49)",(25),1,1,16,(),(),0
"(1, 50)",(27),1,1,16,(),(),0
"(1, 51)",(22),1,1,18,(),(),0
"(1, 52)",(30),1,1,18,(),(),0
"(1, 53)",(23),1,1,18,(),(),0
"(1, 54)",(13),1,1,1,(),(),0
"(1, 55)",(14),1,1,1,(),(13),0
"(1, 56)",(31),1,1,0,(),(),0
"(1, 57)",(31),0,1,4,(),(),0
